name,recruiting,companyInform,companyType,companyDate
(주)에이피알,18,중견기업,화장품 제조업,11년차
한국램리서치(유),0,,전기용 기계ㆍ장비 및 관련 기자재 도매업,33년차
JW중외제약(주),0,"중견기업,1000대기업",완제 의약품 제조업,72년차
엔브이에이치코리아(주),2,중견기업,자동차 차체용 신품 부품 제조업,41년차
(주)조선호텔앤리조트,5,"대기업,1000대기업",호텔업,58년차
(주)동진쎄미켐,1,"중견기업,1000대기업",기타 기초 무기 화학물질 제조업,52년차
(주)에이블리코퍼레이션,5,중소기업,남녀용 겉옷 및 셔츠 도매업,10년차
삼성웰스토리(주),5,"대기업,1000대기업",기관 구내식당업,12년차
(주)카카오스타일,10,"대기업,스타트업",응용 소프트웨어 개발 및 공급업,13년차
네이버아이앤에스(주),1,"대기업,1000대기업",포털 및 기타 인터넷 정보매개 서비스업,16년차
태광후지킨(주),9,중견기업,"탭, 밸브 및 유사장치 제조업",18년차
엘에스엠트론(주),3,"대기업,1000대기업",농업 및 임업용 기계 제조업,17년차
(주)이수페타시스,5,"대기업,1000대기업",연성 및 기타 인쇄회로기판 제조업,53년차
씨제이프레시웨이(주),5,"대기업,1000대기업",기타 가공식품 도매업,37년차
대한유화(주),0,"중견기업,1000대기업",합성수지 및 기타 플라스틱 물질 제조업,55년차
롯데건설(주),7,"대기업,1000대기업",종합 건설업,66년차
스위스포트코리아(주),4,중소기업,기타 항공 운송지원 서비스업,24년차
엘비세미콘(주),0,중견기업,발광 다이오드 제조업,25년차
(주)에스엠컬처앤콘텐츠,4,대기업,광고 대행업,45년차
에코플라스틱(주),0,중견기업,자동차 차체용 신품 부품 제조업,41년차
(주)인터비즈시스템,7,중소기업,그 외 기타 분류 안된 사업지원 서비스업,36년차
한양이엔지(주),6,중견기업,건축설계 및 관련 서비스업,37년차
지멘스(주),5,"대기업,1000대기업",전기용 기계ㆍ장비 및 관련 기자재 도매업,36년차
