company,title,link,location,experience,education,employmentType,deadline,sector,createdAt
(주)엠제이플렉스,[재무 회계/ 의료기기/글로벌기업] 재무 회계 팀장 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49580820&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,서울 양천구,경력 8~15년,대졸↑,정규직,~ 01/11(토),"감사, 관리회계, 내부감사, 세무회계, 외부감사 외",등록일24/12/12
(주)동양에이.케이코리아,A.K corporation [안전관리자] 정규직 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49359557&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,세종특별자치시,경력5년↑,대졸↑,정규직,채용시,"안전요원, 안전보건관리자, 안전관리자, 금속, 금속재료",수정일24/12/02
(유)피피지코리아,외국계기업 PPGSSC 울산공장 EHS 매니저 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49242746&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,울산 남구,경력,대졸↑,정규직,채용시,"안전관리자, 환경관리자, 안전보건관리자, 안전관리, 보건관리",등록일24/10/22
(주)윈텍스,WINTEX 생산관리 경력직 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49552610&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,경북 구미시,신입,대졸↑,정규직,~ 02/07(금),"생산관리, 외주관리, 품질관리, 생산, 공정관리 외",등록일24/12/09
(주)인터엠,(주)인터엠 설계팀 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49566534&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,서울 도봉구,경력무관,초대졸↑,정규직,~ 01/10(금),"제품설계, 시스템설계, AutoCAD, 전기, 전자",등록일24/12/11
덕산하이메탈(주),덕산하이메탈(주) CS부문 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49515704&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,울산 북구,경력무관,대졸↑,정규직,~ 12/17(화),"CS, 품질관리, 품질보증, PCB",등록일24/12/03
지엘기술(주),[토목기술자] 지엘기술(주)도원사업부 신입/경력채용모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49571658&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,광주 북구,신입·경력,초대졸↑,정규직,~ 01/10(금),"토목기술자, 토목설계, 토목건축, 토목공사, 토목공학",등록일24/12/11
(주)아주뉴스코퍼레이션,㈜아주뉴스코퍼레이션 인턴 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49582962&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,서울 종로구,신입,대졸↑,인턴직·아르바이트,~ 12/19(목),"사무직, 사무보조, 사무행정, 기자, 신문",수정일24/12/13
(주)디와이솔루션,[LG화학 내 디와이솔루션] 자재 입출고 지게차 기사 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49531026&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,충북 청주시 흥덕구,경력2년↑,학력무관,정규직,~ 01/04(토),"전동지게차, 지게차, 상하차, 운전, 기타제조업",수정일24/12/06
한국코러스(주),한국코러스(주) 춘천본부 생산팀 팀원 및 경력직 채용모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49493126&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,강원 춘천시,경력무관,학력무관,정규직,~ 12/29(일),"생산관리, 생산설계, 배합, 상품관리, 구매관리",등록일24/11/29
한국코러스(주),한국코러스(주) 춘천본부 공무팀 팀장급 채용모집(차장~부장),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49555474&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,강원 춘천시,신입·경력,학력무관,정규직,~ 01/08(수),"경영지원, 기술지원, 전기설계, 에너지관리, AutoCAD",등록일24/12/09
(주)대성정보시스템,한화에어로스페이스 창원사업장  OA / PC 유지보수 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49552794&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,경남 창원시,경력무관,학력무관,정규직,~ 01/08(수),"기술지원, 인프라, H/W, S/W, A/S기사",등록일24/12/09
